key,城市,景点名称,攻略数量,评论数量,星级,排名,简介,链接,图片
b7640a51a1f004ae8ac8a1f3937ee1c9,厦门,皓月园Haoyue Garden,193,1087,92,厦门景点排名第18,看郑成功巨型石像，纪念人民英雄。,https://travel.qunar.com/p-oi719556-haoyueyuan,https://img1.qunarzz.com/travel/d3/1611/b3/7def5f41474073b5.jpg_r_480x360x95_46eee7c7.jpg
efd41fd465c8949ff7801e3db5c2a42d,厦门,八卦楼Organ Museum,151,718,90,厦门景点排名第14,在音乐之岛鼓浪屿逛风琴博物馆，看各种复古的风琴。,https://travel.qunar.com/p-oi5475488-bagualou,https://img1.qunarzz.com/travel/d0/1706/2f/396ff9cabcee5db5.jpg_r_480x360x95_7b4a224c.jpg
9331db7ac8de96f289255732731ea977,厦门,万国建筑博览World Architecture Expo,34,403,92,厦门景点排名第17,各种风格各异、中西合壁的中外建筑非常值得一看。,https://travel.qunar.com/p-oi702575-wanguojianzhubolan,https://img1.qunarzz.com/travel/d8/1508/d8/98e623286ed4fb.jpg_r_480x360x95_7bbb69f3.jpg
8f3d8bff423ec09aab2df0d2c237d871,厦门,郑成功纪念馆Zheng Chenggong Memorial Hall,40,267,92,厦门景点排名第30,是国内非常大的郑成功文物文献收藏中心和研究基地。,https://travel.qunar.com/p-oi707672-zhengchenggongjinianguan,https://img1.qunarzz.com/travel/d2/1711/d7/efb2842bfad41db5.jpg_r_480x360x95_63e9db3c.jpg
7ed47aa20887c6df56c2523a2eb651bb,厦门,帷幕开啦红地毯蜡像艺术馆Red Carpet Wax Museum,4,262,88,厦门景点排名第37,,https://travel.qunar.com/p-oi7468927-weimukailahongditanla,https://img1.qunarzz.com/travel/d6/1507/80/7c8c8eef19a5e.jpg_r_480x360x95_032139a1.jpg
fae2e4c776b2dd02c06c198f0e7e16cb,厦门,鼓浪屿名人蜡像馆Gulangyu Celebrity Wax Museum,12,424,88,厦门景点排名第6,,https://travel.qunar.com/p-oi5941496-gulangyumingrenlaxiang,https://img1.qunarzz.com/travel/poi/201406/06/aa3df01fddee63cdddb12cfb.jpg_r_480x360x95_78b910a8.jpg
a444ecb1c115ce09d1414ee16243bbfe,厦门,三一堂Trinity Church,14,87,88,厦门景点排名第11,白色的顶，红色的墙，漂亮的教堂。,https://travel.qunar.com/p-oi7481738-sanyitang,https://img1.qunarzz.com/travel/poi/1410/14/dee91d5ad8f5dbd7ffffffffc8d65eac.jpg_r_480x360x95_c69d8992.jpg
490cddfa60c3f52d66a8a28baa086e68,厦门,龙山洞Longshan Cave,10,71,82,厦门景点排名第41,一个凉爽的隧道 ，夏天是个避暑的好地方。,https://travel.qunar.com/p-oi7642242-longshandong,https://img1.qunarzz.com/travel/d9/1704/73/a10f737b5d956eb5.jpg_r_480x360x95_4ab451e7.jpg
e2fd64f6189291452b73d6b552078f34,厦门,厦门市东方鱼骨艺术馆Oriental Fish Bone Gallery,4,93,94,厦门景点排名第24,,https://travel.qunar.com/p-oi7560701-xiamenshidongfangyugu,https://img1.qunarzz.com/travel/d3/1706/f7/d78c32f05260ddb5.jpg_r_480x360x95_9ed32da1.jpg
f994542b300bfadf58c0d763b0421e56,厦门,笔山洞Bishan Cave,10,66,84,厦门景点排名第23,连接龙头路到内厝奥的一条隧道，感觉充满了故事。,https://travel.qunar.com/p-oi7560096-bishandong,https://img1.qunarzz.com/travel/d3/1701/e4/ed279998f85eb4b5.jpg_r_480x360x95_44ba8a00.jpg
bee986c41e2abf85f741d771b91b7d43,厦门,毓园Yu Garden,26,256,92,厦门景点排名第50,为纪念林巧稚大夫而建的纪念馆，恬静的园林景观，景色不错。,https://travel.qunar.com/p-oi719021-yuyuan,https://img1.qunarzz.com/travel/d4/1512/3d/b075731857534f7.jpg_r_480x360x95_8946754c.jpg
e6220bd4f699e703e593ecfe5525ccb4,厦门,五老峰Wulao Peak,56,264,94,厦门景点排名第55,享受游山的乐趣，站在山顶可以鸟瞰厦门大学和鼓浪屿。,https://travel.qunar.com/p-oi701806-wulaofeng,https://img1.qunarzz.com/travel/d8/1704/ca/8ffc4220c92e2eb5.jpg_r_480x360x95_f6f0bb43.jpg
695b8db8aabb8f337b8b5a2a02bbcd3f,厦门,沙坡尾艺术西区Shapowei Art Zone West District,36,91,88,厦门景点排名第3,,https://travel.qunar.com/p-oi8756360-shapoweiyishuxiqu,https://img1.qunarzz.com/travel/d5/1707/42/34b105d03500b2b5.jpg_r_480x360x95_45649dc8.jpg
c1256e5bd64bc099fd7a3040bb94390d,厦门,《闽南神韵》演出Min Nan Shen Yun Performance,3,88,82,厦门景点排名第23,闽南文化的精华，感受浓浓的闽南民俗气息。,https://travel.qunar.com/p-oi7643875-minnanshenyunyanchu,https://img1.qunarzz.com/travel/poi/1410/17/9ad0901b3c6b3797ffffffffc8d65eac.jpg_r_480x360x95_dc5f456d.jpg
3f30daa83d9cde08190401c1fe23f739,厦门,钢琴码头The Piano Dock,37,112,90,厦门景点排名第20,,https://travel.qunar.com/p-oi5808374-gangqinmatou,https://img1.qunarzz.com/travel/d7/1504/56/3dcfe774343a29.jpg_r_480x360x95_9e191bc5.jpg
de67c7767ab1d757348281e5c145f3fe,厦门,陈嘉庚先生故居Xiamen Guilai Park,19,136,92,厦门景点排名第149,,https://travel.qunar.com/p-oi5475505-chenjiagengxianshenggu,https://img1.qunarzz.com/travel/poi/1409/19/bcbfd3ce2ce0102cffffffffc8d65eac.jpg_r_480x360x95_47cac281.jpg
e5803d10a97203ae0147dead97edde40,厦门,鼓浪屿观海园Guanhai Garden,3,74,94,厦门景点排名第51,,https://travel.qunar.com/p-oi705147-gulangyuguanhaiyuan,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/7fbda3bb-23c1-4c9f-aa73-b23ac9bd3d82.jpg_480x360_0cf823f9.jpg_480x360_8c2af3d0.jpg
a2f9457f05bcdcf4ee43176ae4943288,厦门,龙舟池The Lake of Dragon Boat,21,134,90,厦门景点排名第224,,https://travel.qunar.com/p-oi711541-longzhouchi,https://img1.qunarzz.com/travel/poi/1411/69/69d493dd561306c5cdb.jpg_r_480x360x95_aca5433f.jpg
1ce4ea71a0cdc929ecb1896573ef3ada,厦门,厦门大桥Xiamen Bridge,12,160,88,厦门景点排名第93,,https://travel.qunar.com/p-oi703439-xiamendaqiao,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/c35fcb38-f4db-47c2-8bc3-3db19d6cb3d3.jpg_480x360_7b5ce597.jpg_480x360_8847814c.jpg
7a00e965c8a156606de4061af47d114e,厦门,海角八号,2,10,80,鼓浪屿景点排名第19,,https://travel.qunar.com/p-oi5475493-haijiaobahao,https://img1.qunarzz.com/travel/d2/1508/46/829b443c80aea3.jpg_r_480x360x95_9f5c6d7f.jpg
f77fde2e20401a780974b57578442eb2,厦门,厦门市博物馆Xiamen City Museum,7,137,90,厦门景点排名第48,,https://travel.qunar.com/p-oi708188-xiamenshibowuguan,https://img1.qunarzz.com/travel/poi/1803/c7/b84cff6d62276737.jpg_r_480x360x95_57bd990d.jpg
e90d71d99104858e470ea12cace8fa4b,厦门,厦门大学芙蓉湖Xiamen University Furong Lake,21,457,94,厦门景点排名第81,,https://travel.qunar.com/p-oi7481799-xiamendaxuefuronghu,https://img1.qunarzz.com/travel/d7/1707/c2/a71e597cbbc87ab5.jpg_r_480x360x95_f6803844.jpg
bf0f14618d026106c0981846bd665dab,厦门,厦门华侨亚热带植物引种园Overseas Chinese Subtropical Plant Introduction Garden,1,72,94,厦门景点排名第42,,https://travel.qunar.com/p-oi701723-xiamenhuaqiaoyaredaizhi,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/a091b3a1-e642-4620-8168-84aec5fffa40.jpg_480x360_d37132f4.jpg_480x360_d3108dad.jpg
3337b784ff0bf7241d60ac1d71ec0014,厦门,鼓浪屿龙头路,179,128,92,厦门景点排名第22,鼓浪屿龙头路是鼓浪屿主要街道之一，美食、购物，应有尽有，小资情调十足。,https://travel.qunar.com/p-oi7476939-gulangyulongtoulu,https://img1.qunarzz.com/travel/d8/1504/d0/7071febf60c39e.jpg_r_480x360x95_9fd7d459.jpg
546889be02e6a9d724d6f6a0fead76aa,厦门,狮山Lion Mountain,9,120,94,厦门景点排名第125,,https://travel.qunar.com/p-oi706383-shishan,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/1e000ded-6928-49e3-972b-e2120502630c.jpg_480x360_6cd5ea95.jpg_480x360_f33d970b.jpg
fe35382432e557cf93eed16cfadf9c13,厦门,观音山Mount Guanyin,35,46,90,厦门景点排名第26,,https://travel.qunar.com/p-oi709126-guanyinshan,https://img1.qunarzz.com/piao/fusion/1501/2d/aacadda9ddf079.jpg_r_480x360x95_c5a5c466.jpg
d0796a5fef34d7c8f312fc026fbe68d9,厦门,厦门市青少年天文气象馆Xiamen Youth Astronomy Science & Technology Museum,2,502,94,厦门景点排名第74,,https://travel.qunar.com/p-oi705180-xiamenshiqingshaonian,https://img1.qunarzz.com/travel/poi/201303/14/866f269607599716ddb12cfb.jpg_r_480x360x95_3ae23cfe.jpg
d227368d00ed930a693ca7fdaec995b2,厦门,延平故垒Yanping Ancient Village,2,30,90,厦门景点排名第298,,https://travel.qunar.com/p-oi711280-yanpinggulei,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/1619ab588617c4dcff40a280a7709020.jpg_r_480x360x95_eb16cbfd.jpg
ae52643d00975662fbb330cf6f7f18c9,厦门,厦门园林博览苑Xiamen Horticultural Expo Garden,9,388,92,厦门景点排名第41,园林大观园，一次性参观多种园林风格，空气清新很适合漫步。,https://travel.qunar.com/p-oi705073-xiamenyuanlinbolanyuan,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/103bbeb7df211812c0078e433ce847fb.jpg_r_480x360x95_e3a6d48e.jpg
c53ede9ebc43ba994fc43cb30e7bed83,厦门,天界寺Xiamen Tianjie Temple,1,45,94,厦门景点排名第299,厦门小八景之一，可焚香祈福，也可登高赏美景。,https://travel.qunar.com/p-oi713177-tianjiesi,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/9d60a8d4-ca21-4855-9446-d1492ca437f8.jpg_480x360_2245836f.jpg_480x360_17338903.jpg
78c03cea4b95b3f9a35d5b461a2aa7a9,厦门,鼓浪屿日本领事馆旧址,2,10,66,厦门景点排名第21,日本领事馆建于1897年，由中国工匠王天赐设计承建，以拱券宽廊仿英式别墅为基调，使用西洋双柱桁架与中国传统坡顶相折衷，具有维多利亚时代的某些建筑特征，女墙和廊沿压条下均采用闽南土陶烧制的花瓶为装饰，古朴典雅。领事馆面积600平方米，两层…,https://travel.qunar.com/p-oi5941491-gulangyuribenlingshiguan,https://img1.qunarzz.com/travel/poi/201406/06/0a07633f15114b39ddb12cfb.jpg_r_480x360x95_28fc14ea.jpg
86c84dda0ccafa1d16c4d80d61157214,厦门,虎溪岩Huxi Cave,8,64,90,厦门景点排名第300,,https://travel.qunar.com/p-oi707321-huxiyan,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/c12711a9-ae17-4fc6-ba57-f3146c1c694a.jpg_480x360_1b728bef.jpg_480x360_8b0daffc.jpg
3dd87dfc0a165f5a170238829afa2920,厦门,华侨博物院Oversea Chinese Museum,8,138,90,厦门景点排名第107,全面及系统地展示华侨华人历史的综合性博物馆。,https://travel.qunar.com/p-oi702186-huaqiaobowuyuan,https://img1.qunarzz.com/travel/d3/1512/f7/41b2f5385d5886f7.jpg_r_480x360x95_2c7f1b3b.jpg
7195ab75c70cbed4169aa87ca26834f8,厦门,景州乐园,2,4,50,厦门景点排名第175,"景州乐园以“山水有情、人间有爱”为主题,园里的布局典雅、浪漫,五彩缤纷的花园里，错落着形态各异的艺术雕像，充满了欧美的艺术情调。",https://travel.qunar.com/p-oi712156-jingzhouleyuan,https://img1.qunarzz.com/travel/d1/201403/30/838ed99f8821b978ddb12cfb.jpg_r_480x360x95_a6c6ea13.jpg
c4f34cf89afc72fc77d468a2eefa0a23,厦门,英国领事馆旧址,2,9,60,厦门景点排名第52,,https://travel.qunar.com/p-oi5941483-yingguolingshiguanjiu,https://img1.qunarzz.com/travel/poi/201406/06/45072b86c0f11d29ddb12cfb.jpg_r_480x360x95_6f17250f.jpg
7a77c13f8b5545b6cfa5f2bc520e74f1,厦门,林语堂故居Linyutang Former Residence,3,85,92,厦门景点排名第53,,https://travel.qunar.com/p-oi7481935-linyutangguju,https://img1.qunarzz.com/travel/d5/1504/ec/a67b60568605d.jpg_r_480x360x95_868df047.jpg
70ceb5bb9b4e6474c9de1c990a14c974,厦门,南湖公园Xiamen Nanhu Park,8,68,94,厦门景点排名第174,,https://travel.qunar.com/p-oi710760-nanhugongyuan,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/f053af9d-e75b-499d-a5f7-a30ef21471ec.jpg_480x360_b7ddb725.jpg_480x360_37481ca7.jpg
b2741a6815a26c255fd0ff640af365de,厦门,鸿山公园Hongshan Park,9,124,92,厦门景点排名第133,,https://travel.qunar.com/p-oi713472-hongshangongyuan,https://img1.qunarzz.com/travel/d6/1512/28/6ada5a600e20f2f7.jpg_r_480x360x95_2b4fb2ff.jpg
f36d7c7115f107c50dd02956bfdb1e1d,厦门,黑糖(顶澳仔店),1,1,00,厦门景点排名第150,,https://travel.qunar.com/p-oi3725500-heitang,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif
e2813218044cab906b4d8b50afca86f4,厦门,紫云岩,5,0,100,厦门景点排名第225,"紫云岩位于醉仙岩东面，周围群山峥嵘，时有云雾潦绕，瞵息之间，气象万千，仿佛飘浮在茫茫烟海之中。清人郑光沂在危岩下刻“紫云得路”四字，固而名声远扬。
紫云岩有达中庵，建于明代，清废，民国十九年（公元1930年）重修，有大雄宝殿、客堂、积…",https://travel.qunar.com/p-oi714115-ziyunyan,https://img1.qunarzz.com/travel/d1/1508/5b/c9de40952cc18e.jpg_r_480x360x95_be6bd5c9.jpg
fef55b6f6a6fcbb8c40e21c93662344c,厦门,复兴堂Fuxing Church,2,3,86,厦门景点排名第54,,https://travel.qunar.com/p-oi7481832-fuxingtang,https://img1.qunarzz.com/travel/d1/1609/6c/691f29856c9137b5.jpg_r_480x360x95_2133c425.jpg
26f3c4f518e6b224ecf5262ba8c35322,厦门,李清泉别墅Li Qingquan Villa,2,17,88,厦门景点排名第40,,https://travel.qunar.com/p-oi7482004-liqingquanbieshu,https://img1.qunarzz.com/travel/poi/1410/16/53bfe7be1d9ea942ffffffffc8d65eac.jpg_r_480x360x95_461b502e.jpg
5dff16c7eb44ce2a8182e8b0d222abc9,厦门,一朵一果,1,3,80,鼓浪屿景点排名第55,一朵一果是专卖特色的明信片和笔记本的小店。,https://travel.qunar.com/p-oi5241591-yiduoyiguo,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif
